metadataName,scanName,itemName,id,metadataId,itemId,problem,line,ruleset,rule,priority,description,type,column,engine,url,name,label,createdAt,updatedAt
11855,12909,355237709,144983829,11855,355237709,66,2,Documentation,ApexDoc,3,Missing ApexDoc comment,class,21,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AttachmentController.cls,AttachmentController,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237709,144983830,11855,355237709,67,18,Documentation,ApexDoc,3,Missing ApexDoc @description,class,17,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AttachmentController.cls,AttachmentController,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237709,144983831,11855,355237709,68,18,Documentation,ApexDoc,3,Missing ApexDoc @return,class,17,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AttachmentController.cls,AttachmentController,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237709,144983832,11855,355237709,69,19,Security,ApexCRUDViolation,3,Validate CRUD permission before SOQL/DML operation or enforce user mode,class,22,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation,AttachmentController.cls,AttachmentController,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237709,144983833,11855,355237709,70,25,Performance,AvoidDebugStatements,3,Avoid debug statements since they impact on performance,class,5,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements,AttachmentController.cls,AttachmentController,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237709,144983834,11855,355237709,71,25,Best Practices,DebugsShouldUseLoggingLevel,3,Calls to System.debug should specify a logging level.,class,5,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel,AttachmentController.cls,AttachmentController,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237710,144983835,11855,355237710,72,5,Security,ApexSharingViolations,3,Apex classes should declare a sharing model if DML or SOQL/SOSL is used,class,1,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsharingviolations,AutocreatedRegHandler1724908474975.cls,AutocreatedRegHandler1724908474975,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237710,144983836,11855,355237710,73,5,Best Practices,AvoidGlobalModifier,3,Avoid using global modifier,class,8,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#avoidglobalmodifier,AutocreatedRegHandler1724908474975.cls,AutocreatedRegHandler1724908474975,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237710,144983837,11855,355237710,74,5,Documentation,ApexDoc,3,Missing ApexDoc comment,class,8,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AutocreatedRegHandler1724908474975.cls,AutocreatedRegHandler1724908474975,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237710,144983838,11855,355237710,75,6,Documentation,ApexDoc,3,Missing ApexDoc comment,class,8,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AutocreatedRegHandler1724908474975.cls,AutocreatedRegHandler1724908474975,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237710,144983839,11855,355237710,76,15,Documentation,ApexDoc,3,Missing ApexDoc comment,class,8,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AutocreatedRegHandler1724908474975.cls,AutocreatedRegHandler1724908474975,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
